Year,League,Player ID,Player Name,Team,Bases Stolen
1948,American League,dillibo01,Bob Dillinger,St. Louis,28
1948,National League,ashburi01,Richie Ashburn,Philadelphia,32
1949,American League,dillibo01,Bob Dillinger,St. Louis,20
1949,National League,robinja02,Jackie Robinson,Brooklyn,37
1950,American League,dimagdo01,Dom DiMaggio,Boston,15
1950,National League,jethrsa01,Sam Jethroe,Boston,35
1951,American League,minosmi01,Minnie Minoso,Chicago,31
1951,National League,jethrsa01,Sam Jethroe,Boston,35
1952,American League,minosmi01,Minnie Minoso,Chicago,22
1952,National League,reesepe01,Pee Wee Reese,Brooklyn,30
1953,American League,minosmi01,Minnie Minoso,Chicago,25
1953,National League,brutobi01,Bill Bruton,Milwaukee,26
1954,American League,jenseja01,Jackie Jensen,Boston,22
1954,National League,brutobi01,Bill Bruton,Milwaukee,34
1955,American League,riverji01,Jim Rivera,Chicago,25
1955,National League,brutobi01,Bill Bruton,Milwaukee,25
1956,American League,aparilu01,Luis Aparicio,Chicago,21
1956,National League,mayswi01,Willie Mays,New York,40
1957,American League,aparilu01,Luis Aparicio,Chicago,28
1957,National League,mayswi01,Willie Mays,New York,38
1958,American League,aparilu01,Luis Aparicio,Chicago,29
1958,National League,mayswi01,Willie Mays,San Francisco,31
1959,American League,aparilu01,Luis Aparicio,Chicago,56
1959,National League,mayswi01,Willie Mays,San Francisco,27
1960,American League,aparilu01,Luis Aparicio,Chicago,51
1960,National League,willsma01,Maury Wills,Los Angeles,50
1961,American League,aparilu01,Luis Aparicio,Chicago,53
1961,National League,willsma01,Maury Wills,Los Angeles,35
1962,American League,aparilu01,Luis Aparicio,Chicago,31
1962,National League,willsma01,Maury Wills,Los Angeles,104
1963,American League,aparilu01,Luis Aparicio,Baltimore,40
1963,National League,willsma01,Maury Wills,Los Angeles,40
1964,American League,aparilu01,Luis Aparicio,Baltimore,57
1964,National League,willsma01,Maury Wills,Los Angeles,53
1965,American League,campabe01,Bert Campaneris,Kansas City,51
1965,National League,willsma01,Maury Wills,Los Angeles,94
1966,American League,campabe01,Bert Campaneris,Kansas City,52
1966,National League,brocklo01,Lou Brock,St. Louis,74
1967,American League,campabe01,Bert Campaneris,Kansas City,55
1967,National League,brocklo01,Lou Brock,St. Louis,52
1968,American League,campabe01,Bert Campaneris,Oakland,62
1968,National League,brocklo01,Lou Brock,St. Louis,62
1969,American League,harpeto01,Tommy Harper,Seattle,73
1969,National League,brocklo01,Lou Brock,St. Louis,53
1970,American League,campabe01,Bert Campaneris,Oakland,42
1970,National League,tolanbo01,Bobby Tolan,Cincinnati,57
1971,American League,otisam01,Amos Otis,Kansas City,52
1971,National League,brocklo01,Lou Brock,St. Louis,64
1972,American League,campabe01,Bert Campaneris,Oakland,52
1972,National League,brocklo01,Lou Brock,St. Louis,63
1973,American League,harpeto01,Tommy Harper,Boston,54
1973,National League,brocklo01,Lou Brock,St. Louis,70
1974,American League,northbi01,Bill North,Oakland,54
1974,National League,brocklo01,Lou Brock,St. Louis,118
1975,American League,rivermi01,Mickey Rivers,California,70
1975,National League,lopesda01,Davey Lopes,Los Angeles,77
1976,American League,northbi01,Bill North,Oakland,75
1976,National League,lopesda01,Davey Lopes,Los Angeles,63
1977,American League,patekfr01,Freddie Patek,Kansas City,53
1977,National League,taverfr01,Frank Taveras,Pittsburgh,70
1978,American League,lefloro01,Ron LeFlore,Detroit,68
1978,National League,morenom01,Omar Moreno,Pittsburgh,71
1979,American League,wilsowi02,Willie Wilson,Kansas City,83
1979,National League,morenom01,Omar Moreno,Pittsburgh,77
1980,American League,henderi01,Rickey Henderson,Oakland,100
1980,National League,lefloro01,Ron LeFlore,Montreal,97
1981,American League,henderi01,Rickey Henderson,Oakland,56
1981,National League,raineti01,Tim Raines,Montreal,71
1982,American League,henderi01,Rickey Henderson,Oakland,130
1982,National League,raineti01,Tim Raines,Montreal,78
1983,American League,henderi01,Rickey Henderson,Oakland,108
1983,National League,raineti01,Tim Raines,Montreal,90
1984,American League,henderi01,Rickey Henderson,Oakland,66
1984,National League,raineti01,Tim Raines,Montreal,75
1985,American League,henderi01,Rickey Henderson,New York,80
1985,National League,colemvi01,Vince Coleman,St. Louis,110
1986,American League,henderi01,Rickey Henderson,New York,87
1986,National League,colemvi01,Vince Coleman,St. Louis,107
1987,American League,reynoha01,Harold Reynolds,Seattle,60
1987,National League,colemvi01,Vince Coleman,St. Louis,109
1988,American League,henderi01,Rickey Henderson,New York,93
1988,National League,colemvi01,Vince Coleman,St. Louis,81
1989,American League,henderi01,Rickey Henderson,New York,77
1989,National League,colemvi01,Vince Coleman,St. Louis,65
1990,American League,henderi01,Rickey Henderson,Oakland,65
1990,National League,colemvi01,Vince Coleman,St. Louis,77
1991,American League,henderi01,Rickey Henderson,Oakland,58
1991,National League,grissma02,Marquis Grissom,Montreal,76
1992,American League,loftoke01,Kenny Lofton,Cleveland,66
